method,dataset,mask,budget,impresions,click,win_rate,ecpc,cer,wrc,cost_time
IIBidder,ipinyou,0.0,0.03125,26051.0,60.0,0.16692617724893163,4902.516666666666,0.012238612141383167,5.674846498870704e-07,0.12931869824727377
AC_GAIL,ipinyou,0.0,0.03125,14023.0,29.0,0.08985473815061869,4327.724137931034,0.006700981642019378,7.159511900068419e-07,0.09283754825592042
PPO_GAIL,ipinyou,0.0,0.03125,16215.0,48.0,0.10390034793641038,6128.145833333333,0.007832711770485227,3.5322112770791323e-07,0.1083840012550354
PPO,ipinyou,0.0,0.03125,19753.0,51.0,0.12657067978957223,5767.607843137255,0.008842487455294614,4.302959047471757e-07,0.3829929033915202
DRLB,ipinyou,0.0,0.03125,143822.0,472.0,0.9215637274690315,15434.67372881356,0.030580497410765933,1.2649865870853616e-07,0.07050811847050985
Lin,ipinyou,0.0,0.03125,16034.0,26.0,0.10274055990211466,11819.961538461539,0.002199668748108643,3.3431242423057035e-07,0.0022239923477172852
Gamma,ipinyou,0.0,0.03125,5040.0,10.0,0.03229465023740676,30514.8,0.0003277098326058175,1.0583274423363995e-07,0.006018078327178955
Uniform,ipinyou,0.0,0.03125,6857.0,12.0,0.04393738426148308,25611.25,0.0004685440968324467,1.4296251406928297e-07,0.01047889788945516
Normal,ipinyou,0.0,0.03125,5049.0,12.0,0.03235231925568782,25610.916666666668,0.0004685501950665569,1.0526864929241704e-07,0.004647986094156901
IIBidder,ipinyou,0.0,0.0625,52683.0,105.0,0.337575210011342,4837.161904761905,0.021706943465471685,6.64646349121173e-07,0.15423956314722698
AC_GAIL,ipinyou,0.0,0.0625,14023.0,29.0,0.08985473815061869,4327.724137931034,0.006700981642019378,7.159511900068419e-07,0.09306663274765015
PPO_GAIL,ipinyou,0.0,0.0625,27568.0,76.0,0.17664661066364234,7914.223684210527,0.009602963352125836,2.936861025762116e-07,0.10869504610697428
PPO,ipinyou,0.0,0.0625,52658.0,105.0,0.33741501829389464,4834.447619047619,0.021719130761972117,6.647039368143593e-07,0.3610711216926575
DRLB,ipinyou,0.0,0.0625,144275.0,476.0,0.9244664013891792,15393.023109243697,0.030923100460633766,1.261712070238603e-07,0.07393579483032227
Lin,ipinyou,0.0,0.0625,30454.0,68.0,0.19513914252571746,9039.176470588236,0.007522809209584424,3.1747286733193656e-07,0.004786161581675211
Gamma,ipinyou,0.0,0.0625,9859.0,21.0,0.06317320569256643,29166.809523809523,0.0007199964734866605,1.0313942248865137e-07,0.009788934389750164
Uniform,ipinyou,0.0,0.0625,13663.0,27.0,0.08754797741938772,22765.555555555555,0.0011860022451071306,1.4243086114400853e-07,0.01967215140660604
Normal,ipinyou,0.0,0.0625,10004.0,29.0,0.0641023176537623,21195.51724137931,0.0013682138383197488,1.0428736989565506e-07,0.005279270807902018
IIBidder,ipinyou,0.0,0.125,69484.0,151.0,0.4452304518047198,5932.377483443709,0.025453538723962898,4.970260315819013e-07,0.17527246475219727
AC_GAIL,ipinyou,0.0,0.125,14023.0,29.0,0.08985473815061869,4327.724137931034,0.006700981642019378,7.159511900068419e-07,0.1102317492167155
PPO_GAIL,ipinyou,0.0,0.125,45570.0,138.0,0.291997462563196,8796.41304347826,0.015688212833788476,2.405439161739971e-07,0.12938047647476197
PPO,ipinyou,0.0,0.125,52658.0,105.0,0.33741501829389464,4834.447619047619,0.021719130761972117,6.647039368143593e-07,0.35983755191167194
DRLB,ipinyou,0.0,0.125,143783.0,472.0,0.9213138283898136,15420.987288135593,0.03060763822580552,1.2657659594848502e-07,0.0712533156077067
Lin,ipinyou,0.0,0.125,57778.0,130.0,0.3702222820273482,9456.384615384615,0.013747325779082916,3.011577705151165e-07,0.002533213297526042
Gamma,ipinyou,0.0,0.125,19698.0,47.0,0.12621825801122694,26110.510638297874,0.001800041395248021,1.028511042355381e-07,0.006051115194956462
Uniform,ipinyou,0.0,0.125,27142.0,61.0,0.1739169437983102,20153.081967213115,0.003026832327643008,1.414720311243207e-07,0.011931518713633219
Normal,ipinyou,0.0,0.125,19800.0,62.0,0.12687184021841158,19828.08064516129,0.0031268785471240284,1.0320313096074366e-07,0.005153576532999675
